"","13_54_AM_TNF","10_99_Q_TNF","15_94_AM_TNF","17_3_Q_IS","1_28_Q_NT","6_24_AM_NT","42_2","2_57_Q_NT","7_91_AM_NT","11_100_Q_TNF","4_80_Q_NT","8_47_Q_TNF","18_7_Q_IS","9_23_Q_TNF","12_54_AM_TNF","41_96_AS_Cort","5_82_AM_NT","19_83_Q_IS","40_44_AS_Cort","39_93_AS_Cort","38_90_AS_Cort","20_84_Q_IS","21_1_Q_5ASA","37_55_AM_TNF_RCH","36_55_AM_TNF_RCH","35_68_AM_TNF_RCH","32_20_AM_5ASA","22_1_Q_5ASA","31_20_AM_5ASA","23_21_Q_5ASA","29_85_AM_5ASA","46_50","45_41","44_18","28_85_AM_5ASA","27_49_AM_5ASA","26_49_AM_5ASA","24_22_Q_5ASA","43_9","X15B","X16B","X17B","X18B","X19B","X1A","X1B","X20B","X21B","X22B","X23B","X24B","X25B","X2A","X2B","X3A","X3B","X4A","X5A","X5B","X6A","X6B","X7B","X8B"
"ENSG00000119630",193,37,102,81,41,50,47,68,78,37,39,41,57,125,559,64,148,52,128,135,144,45,60,36,70,60,64,44,41,110,58,142,53,119,54,81,126,78,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204936",653.527056537595,2700.10340039496,-920.576058765482,949.125691838224,2089.5226127248,4043.21960396038,21467.3861558068,2343.1236277095,3838.88502819246,93.8280011732895,-801.852016718508,10354.9773495189,19322.2769335159,-584.595096237991,1453.09713562946,-549.866294822889,2483.65412645898,1852.07452863086,-669.3979834144,-470.71693345824,54.2533204909641,5064.89248279999,-877.770791905008,-557.942760268262,5621.36095198615,601.030031142675,-326.955848530612,-897.961955518439,525.918902500712,174.592655627013,287.663171862227,831.209296335788,4002.02963018898,4941.32256148579,8243.78928209856,1698.62168516878,-346.339365599506,4233.01654192663,-812.351421797491,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2965.06332961552,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107,2735.23287583107
"ENSG00000036448",3.33274925153269,0.532933521688255,13.5987402609623,19.1983717206512,4.26602116148084,2.39947734158455,7.06583689132528,32.2641784599252,12.6654683510142,8.93238071122157,5.19929307142898,39.7303537395104,62.1288795782659,40.6636256494585,7.99910880127342,-3.20015411810433,13.5987402609623,30.3976346400289,2.39947734158455,13.5987402609623,21.9981874504956,7.06583689132528,14.5320121709104,-1.33361029820804,18.265099810703,10.7989245311179,4.26602116148084,11.732196441066,0.532933521688255,46.2632571091474,0.532933521688255,23.8647312703919,14.5320121709104,34.1307222798215,36.9305380096659,8.93238071122157,9.86565262116972,18.265099810703,37.8638099196141,96.989290619751,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488,12.4164267841488
"ENSG00000211896",33189.1117033817,-11036.4937704459,25590.8976887867,-9702.65318669086,-10876.013555109,-9681.68592237549,-8290.5885783746,-11267.9401111579,-6834.17014169889,-11124.3949939219,-7657.53848269884,-9382.49918925994,-10213.125429446,-7760.76193778991,472302.49609408,15915.3116404837,9600.93934858404,-9838.13397149791,125666.037399589,62915.0474698841,5219.58753991343,-10522.7957947192,-11171.1681220101,-10125.22420597,-8493.00332234227,38.2539542869381,-9727.65261722074,-10096.1926092256,-9410.7243527614,-7441.41437360189,30130.3104130655,-10616.3420508955,-10432.4752715145,-8359.13540402102,-9476.85187867912,-9505.07704218059,13366.1761596798,-10503.4413968896,-9649.42859265952,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20582.0733005612,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236,20547.8464317236
"ENSG00000146122",248.615535396342,54.2790575199247,108.758321192393,1015.39084350287,287.645455639304,231.539945290046,405.548339706586,449.456999979919,242.923672027576,128.273281313874,41.269084105604,129.086404652269,671.439671361767,684.449644776088,259.186138795477,69.7284009494307,286.832332300909,376.275899524364,110.384567869183,910.497932849912,521.824977097078,147.788241435355,625.904764411645,140.4701313898,331.554115912637,107.132074515603,185.191915001528,527.516840465844,273.009235548193,1069.05698383695,281.953592270539,568.986130723991,265.691125502638,874.72050596053,538.087443864979,388.47274960029,202.267505107824,764.948855277198,1199.15671798015,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,386.595212554302,692.918484052878,1467.91636094427,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702,300.824696534702
"ENSG00000100985",1554.74583057623,-460.886693709289,-312.536139921875,-396.386452932153,-504.424356233857,-331.079959145302,-234.329597979597,-331.079959145302,549.348327462614,-518.130657398998,276.834810179211,-331.886212155016,-360.911320504728,-455.24292264129,24159.6614639335,439.697918141481,1853.05944417049,-368.167597592155,446.147942219195,825.893109794587,-203.691983610457,-389.130175844725,-437.505356427577,-405.255236039009,-281.898525552735,-431.055332349864,-129.51670671675,-278.673513513878,-447.180392544148,-306.892368853876,275.222304159783,-262.548453319594,-491.524308078429,-219.010790795027,-252.873417203024,-327.854947106445,258.290990955784,-435.892850408149,-25.5100684636169,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,900.768462108887,949.662860527678,900.768462108887,900.768462108887,900.768462108887
"ENSG00000183762",1007.17271641535,-150.868117552576,90.6328603854596,1127.4382636616,1224.42660821503,902.425304297651,902.425304297651,1062.45607281081,852.961248575402,-239.127511096195,-75.2172088009022,384.507544382346,716.207682755069,1846.1218968025,2600.69121742817,66.3857742471025,1138.10698156248,874.298684377156,336.013372105632,709.418498636329,1764.65168737762,1213.75789031415,438.821017332265,237.085260661135,1298.13775007564,12.0723012971829,416.513698084977,459.188569688485,269.091414363767,1843.2122464659,399.05579606536,1829.63387822842,963.52796136631,1400.94539530227,1290.37868251136,1102.22129407771,257.452813017355,928.612157327076,839.382880337923,676.714414350587,673.970799737989,577.029750092861,576.115211888662,590.747823155851,4294.62755016312,576.115211888662,576.115211888662,577.029750092861,576.115211888662,577.94428829706,818.467836001483,585.260593930655,576.115211888662,839.502214698067,578.858826501259,576.115211888662,577.029750092861,808.40791575529,651.107344633006,1116.60729057046,576.115211888662,821.211450614081,590.747823155851
"ENSG00000244734",1109,75,3051,277,853,2005,548,552,1370,41,737,2568,645,3080,1872,2246,1622,507,673,3747,641,357,1276,1846,4716,763,1586,538,2998,352,431,993,237,1822,2098,1646,1100,1297,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000076864",130.398200840691,188.058581261833,834.021973516083,2009.79233949503,1034.57981845919,909.231165369747,418.700102946404,311.735918976748,1281.09883620175,96.9718933501733,324.270784285692,423.714049069981,571.625459715521,491.402321738279,-87.7084555349356,9.22783618756512,516.472052356167,41.8184859908196,88.6153164775439,153.796616084053,1257.70042095839,599.202163395198,378.588533957783,508.115475483538,667.726093750759,269.117376926338,371.067614772416,817.308819770824,464.661275745865,1282.77015157628,368.560641710628,1035.41547614645,591.681244209831,659.369516878129,1102.26809112749,735.414366419056,517.30771004343,508.951133170801,565.77585590468,1209.45542739392,609.138490425428,272.961005723071,271.113876686245,271.113876686245,271.113876686245,651.622458272429,272.961005723071,705.189200340387,271.113876686245,1998.17952611868,271.113876686245,727.354748782301,483.533715921251,1174.35997569423,271.113876686245,404.107167337727,271.113876686245,271.113876686245,764.297329518824,271.113876686245,745.826039150562,271.113876686245,372.705973711683
"ENSG00000154165",315,31,42,483,193,58,313,389,246,102,12,315,302,1489,173,34,643,454,69,229,75,98,131,126,592,126,238,155,112,483,372,697,125,916,320,90,61,274,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
